"signal" "activity" "subject_id" "average_mean" "average_std_dev"
"fBodyAcc-X" "LAYING" 1 -0.9390990524 -0.9244374346
"fBodyAcc-X" "LAYING" 2 -0.976725059791667 -0.973246482083333
"fBodyAcc-X" "LAYING" 3 -0.980665609032258 -0.983691129032258
"fBodyAcc-X" "LAYING" 4 -0.958802077592593 -0.952464881481481
"fBodyAcc-X" "LAYING" 5 -0.968741678461538 -0.964953893653846
"fBodyAcc-X" "LAYING" 6 -0.939114254210526 -0.932462941461404
"fBodyAcc-X" "LAYING" 7 -0.953424245576923 -0.931120580576923
"fBodyAcc-X" "LAYING" 8 -0.953538563888889 -0.940125298333333
"fBodyAcc-X" "LAYING" 9 -0.946865494 -0.9409810272
"fBodyAcc-X" "LAYING" 10 -0.96918420862069 -0.96796803862069
"fBodyAcc-X" "LAYING" 11 -0.983801365614035 -0.985322211929825
"fBodyAcc-X" "LAYING" 12 -0.956248487666667 -0.955207641833333
"fBodyAcc-X" "LAYING" 13 -0.974716920483871 -0.966960088387097
"fBodyAcc-X" "LAYING" 14 -0.933936178235294 -0.911972655156863
"fBodyAcc-X" "LAYING" 15 -0.974016176527778 -0.971718824583333
"fBodyAcc-X" "LAYING" 16 -0.980213187428571 -0.971409075142857
"fBodyAcc-X" "LAYING" 17 -0.974359280140845 -0.972438525352113
"fBodyAcc-X" "LAYING" 18 -0.985179972153846 -0.984321858307692
"fBodyAcc-X" "LAYING" 19 -0.97453373 -0.962085001204819
"fBodyAcc-X" "LAYING" 20 -0.965728781617647 -0.960997907205882
"fBodyAcc-X" "LAYING" 21 -0.968234375555556 -0.950929451222222
"fBodyAcc-X" "LAYING" 22 -0.953758542777778 -0.945656808055556
"fBodyAcc-X" "LAYING" 23 -0.970037238333333 -0.952410957638889
"fBodyAcc-X" "LAYING" 24 -0.975893687083333 -0.965167081805556
"fBodyAcc-X" "LAYING" 25 -0.929147371232877 -0.902547712465753
"fBodyAcc-X" "LAYING" 26 -0.973262289210526 -0.967971891447368
"fBodyAcc-X" "LAYING" 27 -0.980631846891892 -0.977615702567568
"fBodyAcc-X" "LAYING" 28 -0.9739308675 -0.967324863875
"fBodyAcc-X" "LAYING" 29 -0.986626999275362 -0.983432309130435
"fBodyAcc-X" "LAYING" 30 -0.974789999285714 -0.977045260571429
"fBodyAcc-X" "SITTING" 1 -0.979641238723404 -0.976412313191489
"fBodyAcc-X" "SITTING" 2 -0.985803840652174 -0.98736209
"fBodyAcc-X" "SITTING" 3 -0.970154440961538 -0.971605878461538
"fBodyAcc-X" "SITTING" 4 -0.9774624984 -0.9819081892
"fBodyAcc-X" "SITTING" 5 -0.977450812045455 -0.9825908425
"fBodyAcc-X" "SITTING" 6 -0.975351454727273 -0.982451284727273
"fBodyAcc-X" "SITTING" 7 -0.972697126875 -0.972879966041667
"fBodyAcc-X" "SITTING" 8 -0.981142909782609 -0.978256730652174
"fBodyAcc-X" "SITTING" 9 -0.959413594 -0.956903459
"fBodyAcc-X" "SITTING" 10 -0.984943144259259 -0.982242427777778
"fBodyAcc-X" "SITTING" 11 -0.981481454339623 -0.983389810188679
"fBodyAcc-X" "SITTING" 12 -0.97966614372549 -0.98399947745098
"fBodyAcc-X" "SITTING" 13 -0.990135477755102 -0.989410582653061
"fBodyAcc-X" "SITTING" 14 -0.976456609259259 -0.976303056851852
"fBodyAcc-X" "SITTING" 15 -0.986619609491525 -0.987384778983051
"fBodyAcc-X" "SITTING" 16 -0.987043828985507 -0.986892418405797
"fBodyAcc-X" "SITTING" 17 -0.9939693815625 -0.99465731359375
"fBodyAcc-X" "SITTING" 18 -0.993144920175439 -0.994906565789474
"fBodyAcc-X" "SITTING" 19 -0.979238031780822 -0.975204245342466
"fBodyAcc-X" "SITTING" 20 -0.981203064242424 -0.98397837530303
"fBodyAcc-X" "SITTING" 21 -0.990610228 -0.992375229411765
"fBodyAcc-X" "SITTING" 22 -0.978505368225806 -0.97862319016129
"fBodyAcc-X" "SITTING" 23 -0.986325670882353 -0.988345258235294
"fBodyAcc-X" "SITTING" 24 -0.989529506764706 -0.991100005441176
"fBodyAcc-X" "SITTING" 25 -0.991405498153846 -0.992124279384615
"fBodyAcc-X" "SITTING" 26 -0.982579546025641 -0.978755176794872
"fBodyAcc-X" "SITTING" 27 -0.988682108428571 -0.988659196428571
"fBodyAcc-X" "SITTING" 28 -0.979820142638889 -0.984956708611111
"fBodyAcc-X" "SITTING" 29 -0.991093963666667 -0.990617521
"fBodyAcc-X" "SITTING" 30 -0.985008785 -0.983231005483871
"fBodyAcc-X" "STANDING" 1 -0.995249932641509 -0.99602834509434
"fBodyAcc-X" "STANDING" 2 -0.983946739814815 -0.989056469814815
"fBodyAcc-X" "STANDING" 3 -0.960123409508197 -0.969931287377049
"fBodyAcc-X" "STANDING" 4 -0.973497549642857 -0.978737637678571
"fBodyAcc-X" "STANDING" 5 -0.964500917321429 -0.97066840875
"fBodyAcc-X" "STANDING" 6 -0.977100287368421 -0.984067374035088
"fBodyAcc-X" "STANDING" 7 -0.976681834339623 -0.980541336037736
"fBodyAcc-X" "STANDING" 8 -0.988219862222222 -0.98918374962963
"fBodyAcc-X" "STANDING" 9 -0.971662692 -0.977579248444444
"fBodyAcc-X" "STANDING" 10 -0.970099814318182 -0.982949246136364
"fBodyAcc-X" "STANDING" 11 -0.993808050638298 -0.995573762978723
"fBodyAcc-X" "STANDING" 12 -0.976469472295082 -0.983647207377049
"fBodyAcc-X" "STANDING" 13 -0.989425965614035 -0.991817705263158
"fBodyAcc-X" "STANDING" 14 -0.9726995625 -0.973605553666667
"fBodyAcc-X" "STANDING" 15 -0.986724998867925 -0.990060962641509
"fBodyAcc-X" "STANDING" 16 -0.989427670897436 -0.989100620641026
"fBodyAcc-X" "STANDING" 17 -0.990927533846154 -0.991318528333333
"fBodyAcc-X" "STANDING" 18 -0.990409919315068 -0.992789068493151
"fBodyAcc-X" "STANDING" 19 -0.987352048356164 -0.991161671369863
"fBodyAcc-X" "STANDING" 20 -0.96193272890411 -0.96980617890411
"fBodyAcc-X" "STANDING" 21 -0.978327686179775 -0.982892836629213
"fBodyAcc-X" "STANDING" 22 -0.980373909206349 -0.987400306031746
"fBodyAcc-X" "STANDING" 23 -0.983627197058824 -0.986333385588235
"fBodyAcc-X" "STANDING" 24 -0.984183633623188 -0.988851853478261
